,Age,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team_Win,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player
347,23.0,10.0,4.0,25.3,2.7,6.9,0.391,0.5,3.2,0.156,2.2,3.7,0.595,0.428,0.8,1.0,0.8,2.3,4.7,7.0,1.0,0.9,1.2,0.7,1.6,6.7,0.293,11.8,0.456,0.464,0.145,9.9,21.9,15.7,5.5,1.8,4.7,8.7,13.8,0.0,0.2,0.2,0.045,-3.4,-0.9,-4.3,-0.1,Marcus Bagley
348,27.0,47.0,20.0,22.8,2.5,6.2,0.405,1.2,3.5,0.335,1.3,2.7,0.496,0.5,0.5,0.6,0.8,0.8,2.1,2.9,1.1,0.6,0.5,0.7,2.1,6.7,0.232,7.9,0.518,0.564,0.103,3.6,10.0,6.7,7.2,1.2,2.3,10.3,13.5,0.0,0.6,0.6,0.027,-4.0,-0.7,-4.7,-0.7,DaQuan Jeffries
349,24.0,4.0,0.0,4.3,1.0,2.0,0.5,0.0,0.8,0.0,1.0,1.3,0.8,0.5,0.3,0.3,1.0,0.8,0.3,1.0,0.3,0.0,0.0,1.0,0.0,2.3,0.293,8.2,0.533,0.375,0.125,19.2,6.9,13.3,10.0,0.0,0.0,32.2,31.9,-0.1,0.0,-0.1,-0.208,-3.7,-6.8,-10.5,0.0,Lester Quiñones
350,24.0,9.0,0.0,18.4,3.0,7.8,0.386,1.4,4.6,0.317,1.6,3.2,0.483,0.479,1.1,1.3,0.833,0.1,1.6,1.7,2.6,0.3,0.2,1.1,2.0,8.6,0.256,9.7,0.511,0.586,0.171,0.6,9.4,4.9,20.4,0.9,1.2,11.7,21.7,0.0,0.0,0.0,-0.006,-3.1,-2.5,-5.6,-0.2,Lester Quiñones
351,31.0,36.0,16.0,21.2,2.6,7.6,0.348,1.3,3.5,0.36,1.4,4.1,0.338,0.43,0.9,1.1,0.829,0.6,1.9,2.4,3.5,0.4,0.0,2.1,1.2,7.5,0.232,6.8,0.462,0.458,0.15,2.7,9.5,6.1,24.8,1.0,0.0,20.3,20.3,-1.1,0.3,-0.9,-0.056,-4.4,-2.4,-6.8,-0.9,Vasilije Micić
353,25.0,57.0,10.0,20.5,2.9,5.7,0.502,0.2,0.6,0.278,2.7,5.1,0.529,0.517,0.7,1.2,0.594,1.8,3.8,5.6,1.0,0.8,0.7,0.8,1.4,6.6,0.622,13.6,0.53,0.11,0.211,10.0,21.0,15.5,6.2,2.0,3.3,11.2,14.9,0.7,1.7,2.3,0.095,-2.1,0.2,-1.9,0.0,Precious Achiuwa
354,24.0,62.0,37.0,15.6,2.8,4.9,0.576,0.0,0.0,0.0,2.8,4.8,0.582,0.576,1.0,1.6,0.578,2.0,3.0,5.0,1.7,0.4,0.6,0.7,1.2,6.6,0.585,18.5,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,1.9,1.4,3.4,0.167,0.3,0.9,1.2,0.8,Trayce Jackson-Davis
355,24.0,57.0,1.0,14.2,2.4,5.2,0.463,1.0,2.7,0.382,1.4,2.5,0.549,0.561,0.8,0.9,0.843,0.3,0.9,1.2,2.3,0.6,0.1,0.9,1.3,6.6,0.537,14.0,0.589,0.514,0.172,2.5,6.9,4.7,22.9,2.2,0.5,14.5,19.4,1.0,0.8,1.8,0.108,-0.4,-0.2,-0.6,0.3,Marcus Sasser
356,24.0,27.0,5.0,18.5,2.5,6.2,0.401,1.0,3.5,0.274,1.5,2.7,0.569,0.479,0.7,0.9,0.792,0.8,2.8,3.6,2.0,0.4,0.3,1.2,1.7,6.6,0.585,9.2,0.504,0.569,0.144,4.7,15.9,10.4,13.8,1.1,1.3,15.7,17.0,-0.1,0.5,0.4,0.04,-2.5,-0.3,-2.8,-0.1,Vince Williams Jr.
357,27.0,10.0,0.0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,0.536,1.1,1.1,1.0,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1,0.451,15.8,0.624,0.607,0.393,5.8,24.8,15.4,4.8,0.4,7.5,5.7,13.4,0.2,0.2,0.4,0.171,-1.1,1.1,0.0,0.1,Thomas Bryant
